agent;date;id;igs_timestamp;record_id;source;time;type;value
Aircraft;2026-02-05;950d2930-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;cabin_altitude;03:55:59.683843000;2;b'33333\xd3Y@'
Cognitive_Model;2026-02-05;9515b4b0-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:55:59.739047000;3;b't-i-x-1-visually-attend-current-task-human-role'
Cognitive_Model;2026-02-05;951d55d0-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:55:59.789126000;3;b't-i-x-2-visually-encode-allocation-item'
Cognitive_Model;2026-02-05;9524f6f0-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:55:59.839286000;3;b't-i-x-3-form-task-item-allocation-human-role-representation'
Cognitive_Model;2026-02-05;95343930-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:55:59.939561000;3;b't-i-x-4-visually-attend-current-task-autonomy_role'
Cognitive_Model;2026-02-05;953c0160-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:55:59.990961000;3;b't-i-x-5-visually-encode-allocation-item'
Cognitive_Model;2026-02-05;95437b70-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:56:00.039743000;3;b't-i-x-6-form-task-item-allocation-autonomy-role-representation'
Cognitive_Model;2026-02-05;954b6ab0-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:56:00.091017000;3;b't-i-x-7-decide-crosscheck'
Cognitive_Model;2026-02-05;955a85e0-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:56:00.190131000;3;b't-i-x-1-visually-attend-tars-input-supporter'
Cognitive_Model;2026-02-05;955aacf0-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:56:00.191378000;3;b't-i-x-2-visually-encode-tars-input'
Cognitive_Model;2026-02-05;95629c30-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:56:00.243980000;3;b't-i-x-3-form-tars-input-representation'
Cognitive_Model;2026-02-05;956a6460-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:56:00.294134000;3;b't-i-pitot-heat-tars-input-is-on-and-distrust'
Cognitive_Model;2026-02-05;9579a6a0-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:56:00.394106000;3;b'perform-visually-attend-pitot-static-switch'
Cognitive_Model;2026-02-05;9579a6a1-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:56:00.394220000;3;b'x-a-visually-encode-aircraft-component'
Cognitive_Model;2026-02-05;958147c0-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:56:00.444057000;3;b'form-pitot-heat-status-representation-has-tars-input'
